baterryNo,U,A,T,R,recordtime,recordTime,SOC
5,2195,103,129,4738,2022/1/3 12:25,01031225,0.9959345
5,2193,101,129,4738,2022/1/3 12:25,01031225,0.9959345
5,2195,103,129,4738,2022/1/3 12:25,01031225,0.9959345
5,2195,102,129,4738,2022/1/3 12:25,01031225,0.9959345
5,2194,102,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2195,102,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2194,101,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2195,103,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2196,102,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2195,166,129,4738,2022/1/3 12:26,01031226,0.9958835
5,2195,166,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2196,102,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2196,102,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2196,94,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2197,102,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2197,82,129,4738,2022/1/3 12:27,01031227,0.9958005
5,2197,82,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2197,102,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2195,72,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2197,102,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2197,103,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2197,102,129,4738,2022/1/3 12:28,01031228,0.9957595
5,2197,102,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2197,102,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2195,79,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2196,102,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2197,102,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2197,102,129,4738,2022/1/3 12:29,01031229,0.9957085
5,2195,185,129,4738,2022/1/3 12:30,01031230,0.995616
5,2197,104,129,4738,2022/1/3 12:30,01031230,0.995616
5,2197,103,129,4738,2022/1/3 12:30,01031230,0.995616
5,2198,103,129,4738,2022/1/3 12:30,01031230,0.995616
5,2198,101,129,4738,2022/1/3 12:30,01031230,0.995616
5,2196,101,129,4738,2022/1/3 12:30,01031230,0.995616
5,2197,102,129,4738,2022/1/3 12:31,01031231,0.995565
5,2198,102,129,4738,2022/1/3 12:31,01031231,0.995565
5,2198,102,129,4738,2022/1/3 12:31,01031231,0.995565
5,2198,101,129,4738,2022/1/3 12:31,01031231,0.995565
5,2196,101,129,4738,2022/1/3 12:31,01031231,0.995565
5,2199,103,129,4738,2022/1/3 12:31,01031231,0.995565
5,2199,102,129,4738,2022/1/3 12:32,01031232,0.995514
5,2196,77,129,4738,2022/1/3 12:32,01031232,0.995514
5,2198,101,129,4738,2022/1/3 12:32,01031232,0.995514
5,2199,101,129,4738,2022/1/3 12:32,01031232,0.995514
5,2199,101,129,4738,2022/1/3 12:32,01031232,0.995514
5,2199,103,129,4738,2022/1/3 12:32,01031232,0.995514
5,2199,102,129,4738,2022/1/3 12:33,01031233,0.995463
5,2197,90,129,4738,2022/1/3 12:33,01031233,0.995463
5,2199,102,129,4738,2022/1/3 12:33,01031233,0.995463
5,2198,102,129,4738,2022/1/3 12:33,01031233,0.995463
